Ciclo,Entropía,Varianza,Simetría,Células Activas,Células Inhibidas,Células Neutrales
172,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
173,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
101,1.1874646755535583,0.13033295262084638,0.9951641035533954,68,28,126
174,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
175,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
176,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
177,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
178,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
179,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
180,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
181,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
182,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
183,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
184,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
185,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
186,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
187,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
188,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
189,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
190,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
191,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
192,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
193,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
194,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
195,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
196,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
197,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
198,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
199,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
200,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
201,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
202,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
203,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
204,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
205,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
206,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
207,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
208,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
209,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
210,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
211,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
212,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
213,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
214,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
215,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
216,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
217,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
218,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
219,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
220,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
221,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
222,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
223,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
224,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
225,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
226,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
227,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
228,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
229,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
230,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
231,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
232,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
233,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
234,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
235,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
236,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
237,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
238,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
239,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
240,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
241,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
242,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
243,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
244,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
245,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
246,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
247,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
248,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
249,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
250,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
251,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
252,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
253,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
254,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
255,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
256,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
257,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
258,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
259,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
260,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
261,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
262,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
263,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
264,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
265,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
266,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
267,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
268,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
269,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
270,3.2363785627243886,0.062085650861263275,1.3766111806035042e-08,1096,1056,1944
